3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;EE. EDUARDO PRADO;RUA ALMIRANTE BARROSO, 225;SÃO PAULO;Da 129ª à 140ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;EE. FREI PAULO LUIG;AV. DR. CARLOS DE CAMPOS, 841;SÃO PAULO;Da 182ª à 189ª.;183ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;EE. MARECHAL DEODORO;RUA DOS ITALIANOS, 405;SÃO PAULO;Da 76ª à 90ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;EE. ORESTES GUIMARÃES;RUA CANINDÉ, 153;SÃO PAULO;Da 172ª à 181ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;EE. PADRE ANCHIETA;RUA VISCONDE DE ABAETÉ, 154;SÃO PAULO;Da 115ª à 128ª;;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;EE. PRUDENTE DE MORAES;PRAÇA CORONEL FERNANDO PRESTES, 197;SÃO PAULO;Da 22ª à 35ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;EMEF. INFANTE DOM HENRIQUE;RUA COMENDADOR NESTOR PEREIRA, 285;SÃO PAULO;Da 190ª à 194ª.;190ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;ESCOLA LUBAVITCH;RUA PRATES, 790;SÃO PAULO;Da 14ª à 21ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;ETE. CARLOS DE CAMPOS;RUA MONSENHOR DE ANDRADE, 798;SÃO PAULO;Da 152ª à 157ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;FATEC FACULDADE DE TECNOLOGIA DE SÃO PAULO;AV. TIRADENTES, 615;SÃO PAULO;Da 36ª à 51ª;;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;INSTITUTO FEDERAL;RUA PEDRO VICENTE, 625;SÃO PAULO;Da 158ª à 171ª;; 227ª;" "",""160ª"; 216ª;" """;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3a. ZE - SÃO PAULO - SANTA IFIGÊNIA;SENAI;RUA MONSENHOR DE ANDRADE, 298;SÃO PAULO;Da 98ª à 114ª.;99ª;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
