neighbourhood,zone,name,address,sections1,sections2
"JARDIM DAS CAMÉLIAS","398a. ZE - SÃO PAULO - VILA JACUÍ","E.M.E.I. DOUTOR ANTONIO ROBERTO ALVES BRAGA","RUA DOS ESCOTEIROS, 110","262ª; 269ª; 275ª; 282ª; 288ª; 303ª; ","262ª; "
"JARDIM DAS FLORES","372a. ZE - SÃO PAULO - PIRAPORINHA","EE. PROFESSOR LUÍS MAGALHÃES DE ARAÚJO","ESTRADA DO M'BOI MIRIM, 3583","Da 79ª à 96ª.","82ª; "
"JARDIM DAS FLORES","372a. ZE - SÃO PAULO - PIRAPORINHA","EE. VICENTE LEPORACE","RUA JOÃO ALVES TORRES, 555","Da 124ª à 142ª; 185ª; ","136ª; "
"JARDIM DAS FLORES","372a. ZE - SÃO PAULO - PIRAPORINHA","EMEF. PRACINHAS DA FORÇA EXPEDICIONÁRIA BRASILEIRA","R. ANTONIO RAPOSO BARRETO,151","343ª; 366ª; 389ª; 408ª; 440ª; 469ª; 514ª; 544ª; 601ª; 628ª; ","601ª; "
"JARDIM DAS FONTES","381a. ZE - SÃO PAULO - PARELHEIROS","EE. LEONOR FERNANDES COSTA ZACHARIAS","RUA ENRIQUE AMORIM, 101","290ª; 296ª; 335ª; 342ª; 392ª; 448ª; 538ª; ","392ª; "
"JARDIM DAS IMBUIAS","280a. ZE - SÃO PAULO - CAPELA DO SOCORRO","EE. MADEMOISELLE PERILLIER","RUA CAROLINA MICHAELIS, 138","680ª; 683ª; 686ª; 689ª; 691ª; 694ª; 699ª; 702ª; 718ª; 723ª; 732ª; 742ª; 750ª; 762ª; 769ª; 776ª; 783ª; 795ª; 801ª; 807ª; 875ª; 881ª; ","807ª; "
"JARDIM DAS LARANJEIRAS","255a. ZE - SÃO PAULO - CASA VERDE","COLÉGIO NOSSA SENHORA DAS DORES","RUA IATAI, 7","Da 1ª à 8ª; 433ª; 447ª; 486ª; 503ª; ","486ª; "
"JARDIM DAS LARANJEIRAS","404a. ZE - SÃO PAULO - CIDADE TIRADENTES","EE. ANTONIETA DE SOUZA ALCÂNTARA","RUA PIRÂMIDE DOS PIQUES, S/N","Da 1ª à 10ª; 358ª; 381ª; 408ª; ","358ª; "
"JARDIM DAS LARANJEIRAS","404a. ZE - SÃO PAULO - CIDADE TIRADENTES","EMEF JARDIM DAS LARANJEIRAS","RUA LUISA SARAZIM, 139","Da 434ª à 435ª; 441ª; 461ª; 478ª; ","434ª; "
"JARDIM DAS OLIVEIRAS","352a. ZE - SÃO PAULO - ITAIM PAULISTA","EE. ANTONIO DE PÁDUA VIEIRA","RUA MAXIMIANO CORREA DOS SANTOS 125","Da 139ª à 156ª; 486ª; ","486ª; "
